Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,735e5be3-5f5f-4c29-b7d4-b7650ac5f6c2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,00:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Bromide,"Bromide, water, filtered",24959-67-9,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,3eeded82-bf44-43b3-af65-6a55c965f6c3,0.10,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL030,USDOI/USGS,"Anions, wf, fluorescein, color",,"DESCRIPTION: Anions, filtered water, fluorescein, colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 121-123. | USGS | I-2129-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,71870,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Fluoride,"Fluoride, water, filtered",16984-48-8,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,e8752703-c1fc-4981-8481-61101ea39e20,0.48,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ISE05,USDOI/USGS,"Anions, wf, ISE",,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-05,00950,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,999da556-6066-411e-bb1f-5df1a0780a45,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,09:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Bromide,"Bromide, water, filtered",24959-67-9,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,ba8ac9c9-9eab-4bcf-9fdb-30ca70098014,0.11,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL030,USDOI/USGS,"Anions, wf, fluorescein, color",,"DESCRIPTION: Anions, filtered water, fluorescein, colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 121-123. | USGS | I-2129-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,71870,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,a2b21455-b013-4bbb-a7be-9bc2c221acaa,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,06:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Agency analyzing sample,Agency analyzing sample,,,,,,,,,,,,,,,,,,,,,,0f6446c5-c422-411e-925c-954ddcf283db,"80020 - USGS-National Water Quality Lab, Denver, CO",,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Information,Federal/US Government,2024-09-05,00028,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,db0ba2e3-bf90-4f9c-a3ea-503dcb082b86,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,04:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Bromide,"Bromide, water, filtered",24959-67-9,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,23d43ed1-ff87-495b-b682-c002caa017be,0.11,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL030,USDOI/USGS,"Anions, wf, fluorescein, color",,"DESCRIPTION: Anions, filtered water, fluorescein, colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 121-123. | USGS | I-2129-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,71870,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Sulfate,"Sulfate, water, filtered",14808-79-8,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,76c50a6c-ae72-42c4-b037-a9031f06a556,81.3,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00945,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,ede0fa6a-4ab9-4fc7-bbf5-4b1058c31894,7.8,standard units,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2024-09-05,00400,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,e5af0e96-e07a-495f-a7ae-f90cc79968c7,55.3,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00940,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,56b0bec9-d7f1-4da1-8910-cf301d2c45b2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius, laboratory",,,Unfiltered,,,,,,,,,,,,,,,,,,,8040e28c-84f5-4b82-826f-6c5ba9d91977,676,uS/cm,,Provisional,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,WHT03,USDOI/USGS,"Specific cond, lab, autom bridge",,"DESCRIPTION: Specific conductance, lab, automated, by Wheatstone bridge; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 461-463. | USGS | I-2781-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2024-09-04,90095,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,56b0bec9-d7f1-4da1-8910-cf301d2c45b2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Bromide,"Bromide, water, filtered",24959-67-9,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,887ca880-2649-4de1-8c18-5cc013181924,0.10,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL030,USDOI/USGS,"Anions, wf, fluorescein, color",,"DESCRIPTION: Anions, filtered water, fluorescein, colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 121-123. | USGS | I-2129-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-05,71870,
