PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LINE,SAMPLE_TYPE,DEPTH,ARRIVAL_TIME,CALIBRATION_VERIFIED,CONDUCTIVITY,CONDUCTIVITY_NARS_COMMENT,CONDUCTIVITY_NARS_FLAG,DEPTH_METHOD,DUPLICATE_DO,E_FILE,INDEX_GPS_FIX,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH,METALIMNION,ODOR,ODOR_DESC,OXYGEN,OXYGEN_NARS_COMMENT,OXYGEN_NARS_FLAG,PH,PH_NARS_COMMENT,PH_NARS_FLAG,PRECIPITATION,REVIEW,SCUM,SCUM_DESC,SURFACE_COND,TEMPERATURE,TEMPERATURE_NARS_COMMENT,TEMPERATURE_NARS_FLAG,COMMENT
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,0,PROF,0.1,11:47,,,,NR,LINE,Y,,3D,31.42438,-110.45229,8,,,,8.91,,,9.05,,,NONE,Y,,,RIPPLES,18.1,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,8,PROF,7.6,,,,,NR,,,,,,,,,,,0.08,,,7.31,,,,,,,,11.9,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,6,PROF,6,,,,,NR,,,,,,,,,,,2.71,,,7.67,,,,,,,,13.8,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,8.92,,,9.05,,,,,,,,18.2,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,7,PROF,7,,,,,NR,,,,,,,,B,,,0.16,,,7.42,,,,,,,,12,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,4,PROF,4,,,,,NR,,,,,,,,T,,,8.83,,,9.02,,,,,,,,17.5,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,8.94,,,9.05,,,,,,,,18.1,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,5,PROF,5,,,,,NR,,,,,,,,,,,6.72,,,8.67,,,,,,,,15.7,,,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,3,PROF,3,,,,,NR,,,,,,,,,,,8.86,,,9.01,,,,,,,,18,,,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,0,PROF,0.1,12:27,,,,NR,SONAR,Y,,3D,33.51166,-111.90755,4.2,,,,8.6,,,8.63,,,NONE,Y,,,RIPPLES,26.1,,,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,3,PROF,3,,,,,NR,,,,,,,,,,,6.8,,,8.47,,,,,,,,24.6,,,
