PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,SAMPLE_TYPE,DISAPPEARS,REAPPEARS,CLEAR_TO_BOTTOM,NARS_COMMENT,NARS_FLAG,INDEX_SITE_DEPTH
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,SECH,1.6,1.5,,,,8
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,SECH,1.4,1.1,,,,4.2
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,SECH,0.3,0.25,,,,3.5
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,SECH,0.8,0.7,,,,3
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,SECH,2.6,2.5,,,,13
8/13/2024,2020250,NLA_AZ-10139,NLA22_AZ-10050,1,5/18/2022,AZ,SECH,0.2,0.15,,,,1.25
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,SECH,5.2,5.1,,,,18
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,SECH,1.5,1.4,,,,6.8
8/13/2024,2020257,NLA_AZ-10191,NLA22_AZ-10098,1,5/22/2022,AZ,SECH,1.6,1.5,,,,3.1
8/13/2024,2020259,NLA_AZ-10020,NES22-10195,1,5/23/2022,AZ,SECH,0.15,0.1,,,,3
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,SECH,3.1,3,,,,16.7
8/13/2024,2020269,NLA_NJ-10043,NLA22_NJ-10023,1,6/8/2022,NJ,SECH,1.6,1.5,,,,1.8
8/13/2024,2020270,NLA_NJ-10023,NLA22_NJ-10003,1,6/7/2022,NJ,SECH,0.55,0.5,,,,1.1
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,SECH,2,1.9,,,,2.7
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,SECH,0.65,0.6,,,,2.1
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,SECH,0.85,0.8,,,,4.2
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,SECH,1.95,1.9,,,,3.8
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,SECH,2.7,2.5,,,,4.4
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,SECH,1.5,1.3,,,,2.4
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,SECH,0.8,0.7,,,,3.3
8/13/2024,2020287,NLA_VA-10084,NLA22_VA-10011,1,6/1/2022,VA,SECH,0.9,0.81,,,,2.2
8/13/2024,2020288,NLA_AR-10005,NES22-10123,1,6/1/2022,AR,SECH,1.8,1.7,,,,6
8/13/2024,2020289,NLA_LA-10066,NES22-10109,1,6/1/2022,LA,SECH,0.7,0.6,,,,4.7
8/13/2024,2020290,NLA_MI-10160,NLA22_MI-10030,1,6/1/2022,MI,SECH,3.38,3.38,,,,8.5
8/13/2024,2020291,NLA_TX-10224,NLA22_TX-10010,1,6/1/2022,TX,SECH,1.14,1.14,Y,,,1.14
8/13/2024,2020293,NLA_KY-10045,NLA22_KY-10002,1,6/1/2022,KY,SECH,1.3,1.1,,,,4
8/13/2024,2020294,NLA_NE-10019,NES22-10138,1,6/2/2022,NE,SECH,0.5,0.48,,,,6.6
