PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,NON_NATIVE,CLADOCERA_SIZE,NET_SIZECLS_NEW,FFG,NON_TARGET
8/13/2024,1000,ACANTHOCYCLOPS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,,,,,COARSE,OMNI,
8/13/2024,1001,ACANTHOCYCLOPS BREVISPINOSUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,BREVISPINOSUS,,,,COARSE,OMNI,
8/13/2024,1002,ACANTHOCYCLOPS ROBUSTUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,ROBUSTUS,,,,COARSE,OMNI,
8/13/2024,1003,ACANTHOCYCLOPS VERNALIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,ACANTHOCYCLOPS,VERNALIS,,,,COARSE,OMNI,
8/13/2024,1004,ACANTHODIAPTOMUS DENTICORNIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ACANTHODIAPTOMUS,DENTICORNIS,,,,COARSE,HERB,
8/13/2024,1005,ACANTHOLEBERIS CURVIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,MACROTHRICIDAE,,ACANTHOLEBERIS,CURVIROSTRIS,,,LARGE,COARSE,HERB,
8/13/2024,1006,ACARTIA TONSA,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,ACARTIIDAE,,ACARTIA,TONSA,,,,COARSE,HERB,
8/13/2024,1007,ACROPERUS HARPAE,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ACROPERUS,HARPAE,,,SMALL,COARSE,HERB,
8/13/2024,1008,AGLAODIAPTOMUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,,,,,COARSE,OMNI,
8/13/2024,1009,AGLAODIAPTOMUS CLAVIPES,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,CLAVIPES,,,,COARSE,OMNI,
8/13/2024,1010,AGLAODIAPTOMUS FORBESI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,FORBESI,,,,COARSE,OMNI,
8/13/2024,1011,AGLAODIAPTOMUS LEPTOPUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,LEPTOPUS,,,,COARSE,OMNI,
8/13/2024,1012,AGLAODIAPTOMUS LINTONI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,LINTONI,,,,COARSE,OMNI,
8/13/2024,1013,AGLAODIAPTOMUS SASKATCHEWANENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,SASKATCHEWANENSIS,,,,COARSE,OMNI,
8/13/2024,1014,AGLAODIAPTOMUS SPATULOCRENATUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,AGLAODIAPTOMUS,SPATULOCRENATUS,,,,COARSE,OMNI,
8/13/2024,1015,ALONA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,,,,SMALL,COARSE,HERB,
8/13/2024,1016,ALONA AFFINIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,AFFINIS,,,SMALL,COARSE,HERB,
8/13/2024,1017,ALONA COSTATA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,COSTATA,,,SMALL,COARSE,HERB,
8/13/2024,1018,ALONA GUTTATA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,GUTTATA,,,SMALL,COARSE,HERB,
8/13/2024,1019,ALONA MONACANTHA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,MONACANTHA,,,SMALL,COARSE,HERB,
8/13/2024,1020,ALONA QUADRANGULARIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,QUADRANGULARIS,,,SMALL,COARSE,HERB,
8/13/2024,1021,ALONA RECTANGULA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,RECTANGULA,,,SMALL,COARSE,HERB,
8/13/2024,1022,ALONELLA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONELLA,,,,SMALL,COARSE,HERB,
8/13/2024,1023,ALONELLA ACUTIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONELLA,ACUTIROSTRIS,,,SMALL,COARSE,HERB,
8/13/2024,1024,ALONELLA EXCISA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONELLA,EXCISA,,,SMALL,COARSE,HERB,
8/13/2024,1025,ALONELLA EXIGUA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONELLA,EXIGUA,,,SMALL,COARSE,HERB,
8/13/2024,1026,AMPHIPODA,ARTHROPODA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,,,,,,,,,COARSE,,Y
8/13/2024,1027,ANOSTRACA,ARTHROPODA,BRANCHIOPODA,SARSOSTRACA,ANOSTRACA,,,,,,,,,COARSE,,
8/13/2024,1028,ANURAEOPSIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,ANURAEOPSIS,,,,,FINE,HERB,
8/13/2024,1029,ANURAEOPSIS FISSA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,ANURAEOPSIS,FISSA,,,,FINE,HERB,
8/13/2024,1030,APPENDICULARIA,CHORDATA,APPENDICULARIA,,,,,,,,,,,COARSE,FILT,Y
8/13/2024,1031,ARCTODIAPTOMUS ARAPAHOENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,ARAPAHOENSIS,,,,COARSE,HERB,
8/13/2024,1032,ARCTODIAPTOMUS DORSALIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,DORSALIS,,"CT,MA,ME,NH,RI,VT,NJ,NY,DE,MD,PA,VA,WV,KY,GA,NC,SC,TN,IN,MI,MN,OH,WI,IL,AR,NM,OK,KS,NE,IA,MO,CO,UT,MT,ND,SD,WY,AZ,CA,HI,NV,AK,ID,OR,WA",,COARSE,HERB,
8/13/2024,1033,ARCTODIAPTOMUS FLORIDANUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,FLORIDANUS,,,,COARSE,HERB,
8/13/2024,1034,ARGULUS,ARTHROPODA,MAXILLOPODA,BRANCHIURA,ARGULOIDA,,ARGULIDAE,,ARGULUS,,,,,COARSE,PARA,
8/13/2024,1035,ASCOMORPHA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,,,,,FINE,HERB,
8/13/2024,1036,ASCOMORPHA AGILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,AGILIS,,,,FINE,HERB,
8/13/2024,1037,ASCOMORPHA ECAUDIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,ECAUDIS,,,,FINE,HERB,
8/13/2024,1038,ASCOMORPHA OVALIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,OVALIS,,,,FINE,HERB,
8/13/2024,1039,ASCOMORPHA SALTANS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,SALTANS,,,,FINE,HERB,
8/13/2024,1040,ASCOMORPHELLA VOLVOCICOLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,ASCOMORPHELLA,VOLVOCICOLA,,,,FINE,HERB,
8/13/2024,1041,ASPLANCHNA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,,,,,FINE,OMNI,
8/13/2024,1042,ASPLANCHNA BRIGHTWELLII,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,BRIGHTWELLII,,,,FINE,OMNI,
8/13/2024,1043,ASPLANCHNA GIRODI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,GIRODI,,,,FINE,OMNI,
8/13/2024,1044,ASPLANCHNA HERRICKII,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,HERRICKII,,,,FINE,OMNI,
8/13/2024,1045,ASPLANCHNA PRIODONTA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,PRIODONTA,,,,FINE,OMNI,
8/13/2024,1046,ASPLANCHNA SILVESTRII,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,SILVESTRII,,,,FINE,OMNI,
8/13/2024,1047,ASPLANCHNOPUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNOPUS,,,,,FINE,OMNI,
8/13/2024,1048,ASPLANCHNOPUS MULTICEPS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNOPUS,MULTICEPS,,,,FINE,OMNI,
8/13/2024,1049,BALANUS,ARTHROPODA,MAXILLOPODA,THECOSTRACA,SESSILIA,BALANOMORPHA,BALANIDAE,,BALANUS,,,,,FINE,FILT,
8/13/2024,1050,BDELLOIDEA,ROTIFERA,EUROTATORIA,BDELLOIDEA,,,,,,,,,,FINE,HERB,
8/13/2024,1051,BIVALVIA,MOLLUSCA,BIVALVIA,,,,,,,,,,,FINE,FILT,
8/13/2024,1052,BOSMINA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,BOSMINA,,,,SMALL,COARSE,HERB,
8/13/2024,1053,BOSMINA COREGONI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,BOSMINA,COREGONI,,ALL,SMALL,COARSE,HERB,
8/13/2024,1054,BOSMINA LONGIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,BOSMINA,LONGIROSTRIS,,,SMALL,COARSE,HERB,
8/13/2024,1055,BOSMINIDAE,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,,,,,SMALL,COARSE,HERB,
8/13/2024,1056,BOSMINOPSIS DEITERSI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,BOSMINOPSIS,DEITERSI,,,SMALL,COARSE,HERB,
8/13/2024,1057,BRACHIONUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,,,,,FINE,OMNI,
8/13/2024,1058,BRACHIONUS ANGULARIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,ANGULARIS,,,,FINE,OMNI,
8/13/2024,1059,BRACHIONUS BIDENTATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,BIDENTATA,,,,FINE,OMNI,
8/13/2024,1060,BRACHIONUS BUDAPESTINENSIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,BUDAPESTINENSIS,,,,FINE,OMNI,
8/13/2024,1061,BRACHIONUS CALYCIFLORUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CALYCIFLORUS,,,,FINE,OMNI,
8/13/2024,1062,BRACHIONUS CAUDATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CAUDATUS,,,,FINE,OMNI,
8/13/2024,1063,BRACHIONUS CAUDATUS PERSONATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CAUDATUS,PERSONATA,,,FINE,OMNI,
8/13/2024,1064,BRACHIONUS DIMIDIATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,DIMIDIATUS,,,,FINE,OMNI,
8/13/2024,1065,BRACHIONUS FALCATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,FALCATUS,,,,FINE,OMNI,
8/13/2024,1066,BRACHIONUS FORFICULA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,FORFICULA,,,,FINE,OMNI,
8/13/2024,1067,BRACHIONUS HAVANAENSIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,HAVANAENSIS,,,,FINE,OMNI,
8/13/2024,1068,BRACHIONUS NILSONI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,NILSONI,,,,FINE,OMNI,
8/13/2024,1069,BRACHIONUS NOVAE-ZELANDIAE,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,NOVAE-ZELANDIAE,,,,FINE,OMNI,
8/13/2024,1070,BRACHIONUS PATULUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,PATULUS,,,,FINE,OMNI,
8/13/2024,1071,BRACHIONUS PLICATILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,PLICATILIS,,,,FINE,OMNI,
8/13/2024,1072,BRACHIONUS QUADRIDENTATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,,,,FINE,OMNI,
8/13/2024,1073,BRACHIONUS QUADRIDENTATUS BREVISPINUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,BREVISPINUS,,,FINE,OMNI,
8/13/2024,1074,BRACHIONUS QUADRIDENTATUS MELHENI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,MELHENI,,,FINE,OMNI,
8/13/2024,1075,BRACHIONUS RUBENS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,RUBENS,,,,FINE,OMNI,
8/13/2024,1076,BRACHIONUS SATANICUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,SATANICUS,,,,FINE,OMNI,
8/13/2024,1077,BRACHIONUS URCEOLARIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,URCEOLARIS,,,,FINE,OMNI,
8/13/2024,1078,BRACHIONUS VARIABILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,VARIABILIS,,,,FINE,OMNI,
8/13/2024,1079,BRACHIONUS ZAHNISERI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,ZAHNISERI,,,,FINE,OMNI,
8/13/2024,1080,CALANOIDA,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,,,,,,,,COARSE,HERB,
8/13/2024,1081,CAMPTOCERCUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,,,,SMALL,COARSE,HERB,
8/13/2024,1082,CAMPTOCERCUS OKLAHOMENSIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,OKLAHOMENSIS,,,SMALL,COARSE,HERB,
8/13/2024,1083,CAMPTOCERCUS RECTIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,RECTIROSTRIS,,,SMALL,COARSE,HERB,
8/13/2024,1084,CEPHALODELLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,,,,,FINE,OMNI,
8/13/2024,1085,CEPHALODELLA FORFICULA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,FORFICULA,,,,FINE,OMNI,
8/13/2024,1086,CEPHALODELLA GIBBA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,GIBBA,,,,FINE,OMNI,
8/13/2024,1087,CERCOPAGIS PENGOI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CERCOPAGIDIDAE,,CERCOPAGIS,PENGOI,,ALL,LARGE,COARSE,PRED,
8/13/2024,1088,CERIODAPHNIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,,,,SMALL,COARSE,HERB,
8/13/2024,1089,CERIODAPHNIA CORNUTA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,CORNUTA,,,SMALL,COARSE,HERB,
8/13/2024,1090,CERIODAPHNIA DUBIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,DUBIA,,,SMALL,COARSE,HERB,
